lon,lat,source
-14.18,13.39,record
-14.81,13.73,record
-4.24,7.77,record
-4.21,7.68,record
-4.23,7.66,record
-67.8,-9.96,record
-16.45,13.4,record
41.023415,43.00154,record
-15.93,13.49,record
-14.98,14.48,record
-10.97,7.67,record
-16.09,13.48,record
-4.34,7.45,record
-11.73,9.68,record
-4.22,7.7,record
-7.45,5.86,record
-60.86,2.41,record
-4.2,7.68,record
-11.7,8.45,record
-51.91,-2.58,record
-4,7.09,record
-11.36,9.53,record
-5.25,6.55,record
-6.45,6.87,record
-10.68,7.98,record
-4.25,7.76,record
-4.58,8.26,record
-15.51,13.95,record
-12.3,9.33,record
-11.83,8.76,record
-4.26,7.73,record
-11.93,7.71,record
-4.2,7.66,record
13.8,10.74,record
-4.3,11.2,record
-5.93,6.31,record
-43.81,-17.11,record
-15.43,14.11,record
-8.2,6.91,record
14.14,11.04,record
-4.58,8.01,record
-15.58,14.06,record
-7.25,6.66,record
-4.49,7.9,record
-12.3,12.08,record
-15.58,14.13,record
-6.28,6.48,record
-48.15,-2.41,record
-13.2,11.75,record
-4.51,8.45,record
-89.61,20.96,record
-4.25,7.74,record
-7.48,6.54,record
-50.38,-0.16,record
-5.36,5.83,record
-4.02,5.34,record
-5.66,5.83,record
-4.44,7.85,record
-4.52,7.89,record
-3.62,7.19,record
-12.4,11.08,record
-10.73,10.03,record
-14.75,14.41,record
-11.9,11.58,record
-3.45,10.13,record
-9.01,9.26,record
-9.3,10.38,record
-11.11,10.75,record
-14.93,14.28,record
77.11,20.75,record
-13.03,10.9,record
-14.88,14.41,record
-12.63,9.86,record
75.33,19.88,record
-97.85,22.3,record
-12.25,10.7,record
3.63,8.13,record
-12.02,11.72,record
-15.55,13.93,record
145.36,-16.46,record
-12.28,11.31,record
-63.16,-17.8,record
-11.68,11.45,record
-14.7,14.35,record
-14.68,14.36,record
72.38,22.98,record
145.36,-16.46,record
78.13,20.4,record
-38.58,-3.75,record
-61.46,10.16,record
110.35,-7.93,record
145.65,-16.81,record
4.18,8.08,record
146.8,-19.25,record
145.43,-17,record
-14.8,14.41,record
-89.18,13.95,record
75.4,19.85,record
-12.85,10.06,record
80.28,13.08,record
78.48,20.73,record
-43.36,-22.8,record
-99.56,18.5,record
72.03,23.11,record
72.61,25.35,record
144.53,-17.15,record
110.35,-7.68,record
99.83,17.3,record
145.76,-16.91,record
101.06,4.8,record
-43.3,-22.78,record
-43.41,-22.8,record
103.51,2.05,record
145.76,-16.91,record
99.79,17.01,record
100.45,5.35,record
75.55,18.55,record
-61.85,1.84,record
145.78,-17.08,record
-61.38,10.63,record
145.48,-17.26,record
145.48,-17.23,record
143.61,-18.58,record
-43.4,-22.92,record
99.57,17.37,record
99.75,16.82,record
103.04,4.91,record
115.75,-31.86,record
145.46,-16.48,record
99.98,16.92,record
99.48,17.03,record
143.63,-3.55,record
-60.02,-3.11,record
-44.78,-2.43,record
99.95,17.33,record
-43.93,-19.91,record
143.05,-3.63,record
-61.08,10.65,record
-42.92,-22.07,record
145.48,-17.63,record
-60.05,-3.1,record
151,-33.81,record
99.7,17.58,record
-12.9,14.41,record
-43.28,-22.85,record
-12.31,12.53,record
-60.03,-3.08,record
-44.23,-2.56,record
102.25,14.51,record
-42.92,-22.07,record
142.17,-10.62,record
-76.52,3.43,record
-51.2,-30.03,record
-76.2,4.08,record
-110.1,27.45,record
-61.63,10.71,record
123.89,10.31,record
-61.58,10.14,record
-43.11,-3.38,record
84.72,27.31,record
-109.63,26.91,record
-83.25,10,record
-43.28,-22.91,record
-61.1,10.27,record
104.98,11.4,record
96.27,17.06,record
-61.3,10.2,record
99.71,17.16,record
-76.3,3.53,record
99.52,13.59,record
-42.92,-22.07,record
106.63,-6.2,record
-61.3,10.68,record
-56.36,-15.15,record
-43.71,-22.6,record
-105.21,21.81,record
-57.33,-25.38,record
-108.6,25.53,record
106.15,-6.07,record
-73.95,4.41,record
-38.58,-3.75,record
113.61,-7.1,record
105.64,12.05,record
-64.51,-13.44,record
-67.59,10.24,record
106.16,13.85,record
-107.18,24.25,record
115.43,-3.17,record
-89.61,14.11,record
120.35,22.63,record
119.43,-5.14,record
-48.64,-22.55,record
110.2,-6.98,record
-41.41,-3.31,record
-39.34,-5.32,record
-60.02,-3.11,record
107,-6.81,record
110.42,-7.88,record
-54.03,5.5,record
105.68,-6.58,record
120.78,15.97,record
105.92,9.58,record
108.55,-6.76,record
109.08,12.37,record
117.27,-8.6,record
-48.64,-22.55,record
102.89,13.8,record
-80.59,-3.82,record
115.08,-8.45,record
106.24,-6.64,record
110.75,-7.78,record
120.79,15.45,record
98.66,3.58,record
-66.28,10.31,record
120.59,-8.51,record
73.86,18.53,record
73.85,18.16,record
121.05,15.6,record
-80.57,-4.65,record
73.86,18.53,record
-89.39,13.74,record
-36.78,-5.91,record
121.12,16.25,record
120.96,15.48,record
103.51,1.51,record
-64.95,-3.79,record
119.98,16.15,record
-79.85,8.9,record
120.84,15.5,record
-47.8,-21.16,record
120.34,15.92,record
105.81,18.35,record
90.29,24.13,record
-39.34,-5.32,record
104.98,8.99,record
-49.58,-15.95,record
108.62,-6.79,record
-85.43,10.63,record
-69.74,11.25,record
-86,14.71,record
-79.38,9.08,record
-64.1,-23.21,record
80.63,7.29,record
-42.92,-22.07,record
80.36,7.48,record
-66.88,9.89,record
-67.59,10.24,record
145.76,-16.91,record
91.79,22.43,record
-73.63,4.15,record
-48.96,-21.13,record
120.85,15.5,record
-61,14.6,record
106.66,10.75,record
-61.15,-16.98,record
-82.43,8.43,record
-80.43,22.14,record
-80.39,22.24,record
-38.51,-3.72,record
-83.25,10,record
-97.5,25.88,record
-69.86,10.13,record
44.41,-12.25,record
145.76,-16.91,record
79.23,12.25,record
-75.94,20.04,record
-63.16,-17.8,record
-63.71,-22.06,record
-52.33,4.93,record
-75.74,20.11,record
-61.15,-16.98,record
79.15,12.81,record
101.76,3.05,record
-69.86,10.13,record
-73.24,-3.74,record
-48.05,-7.16,record
76.96,11,record
-60.96,14.73,record
-64.33,-23.13,record
-66.88,9.89,record
-80.41,7.93,record
-47.8,-21.16,record
102.16,2.75,record
-52.33,4.93,record
101.25,3.35,record
-97.85,22.21,record
98.56,16.71,record
-75.85,20.04,record
-98.28,26.08,record
-63.81,-22.53,record
-75.8,20.07,record
101,5,record
77.73,11.35,record
-74.64,5.87,record
-76.21,20.23,record
-80.75,7.83,record
103.12,5.33,record
-61.58,-16.91,record
-149.83,-17.5,record
78.16,12.13,record
102.25,2.2,record
-75.7,19.96,record
-42.61,-11.81,record
-75.77,20.05,record
-73.43,-9.67,record
-38.53,-3.78,record
-38.94,-6.24,record
109.21,19.78,record
-36.68,-5.84,record
115.13,-8.37,record
-74.44,-4.15,record
124.86,1.53,record
-61,14.6,record
100.01,9.5,record
-149.58,-17.68,record
-36.79,-9.63,record
-80.34,-5.13,record
-61.4,10.63,record
-81.21,19.35,record
-38.81,-3.78,record
120.17,23.04,record
-83.35,9.95,record
-76.64,-11.78,record
-45.29,-5.09,record
-48.18,-21.79,record
-43.37,-22.79,record
-38.95,-4.95,record
106.93,-6.22,record
-67.99,10.08,record
144.54,-22.57,record
-35.71,-9.52,record
-78.34,-7.95,record
109.21,19.78,record
124.83,1.25,record
-79.82,-6.36,record
