lon,lat,source
9.11,39.22,record
113.431534,36.276113,record
106.117637,33.724091,record
106.296093,33.908921,record
12.67,41.72,record
113.62189,37.596714,record
105.79259,33.622116,record
111.06344,35.738104,record
2.07,41.48,record
113.419636,36.46647,record
123.684631,42.296149,record
116.156016,39.702537,record
113.431534,36.276113,record
12.9,41.47,record
102.911837,29.78098,record
113.824145,37.620508,record
114.442804,37.787071,record
113.312561,38.191579,record
104.167113,30.425582,record
107.067282,34.061884,record
19.8,41.52,record
13.67,41.46,record
113.110306,35.53848,record
110.362359,35.387563,record
106.236624,30.696993,record
20.79,40.62,record
12.12,41.93,record
12.05,41.98,record
19.79,41,record
19.73,41.68,record
20.68,40.9,record
13.33,41.57,record
109.355353,34.903181,record
113.324815,23.191694,record
12.45,41.63,record
9.01,44.39,record
-2.08,41.47,record
106.678501,34.807579,record
12.29,41.76,record
120.343868,41.665592,record
14.28,40.85,record
105.965213,32.155828,record
12.25,44.26,record
113.547571,23.493278,record
19.72,41.63,record
12.21,41.81,record
109.38722,34.259461,record
13.35,41.64,record
11.12,43.68,record
12.89,41.94,record
12.54,41.61,record
10.8,45.16,record
10.4,43.71,record
12.26,44.26,record
113.378339,23.356786,record
12.25,44.26,record
12.83,41.84,record
2.07,41.48,record
12.4,44.09,record
11.08,44.5,record
11.34,44.51,record
19.52,42.07,record
10.61,43.71,record
10.85,44.57,record
12.05,44.23,record
12.4,44.09,record
12.28,44.27,record
8.98,44.41,record
11.56,45.7,record
11.19,44.64,record
11.27,44.57,record
12.35,41.78,record
11.24,43.78,record
10.53,45.47,record
11.34,44.5,record
9.01,44.39,record
12.25,44.14,record
9.03,44.39,record
10.53,45.47,record
11.27,44.48,record
12.21,44.42,record
10.22,45.54,record
11.42,44.47,record
12.68,42.02,record
10.92,44.65,record
11.88,45.41,record
11.88,45.07,record
8.93,44.42,record
8.99,44.41,record
80.01,7.07,record
8.97,44.4,record
8.96,44.4,record
10.53,45.47,record
10.8,43.74,record
10.32,45.52,record
8.93,44.42,record
11.87,45.35,record
13.24,46.07,record
6.44,45.48,record
8.93,44.42,record
-0.68,48.81,record
11.78,45.35,record
8.93,44.42,record
10.79,45.21,record
10.48,45.45,record
10.53,45.47,record
8.94,44.41,record
6.25,45.56,record
11.88,45.41,record
139.62,35.63,record
12.25,45.67,record
11.87,45.32,record
11.56,45.7,record
5.19,45.91,record
11.78,45.35,record
11.78,45.08,record
8.97,44.42,record
0.48,46.76,record
100.31,5.35,record
11.88,45.41,record
11.88,45.41,record
11.87,45.35,record
11.61,45.69,record
12.49,45.79,record
12.05,45.78,record
7.68,45.08,record
12.25,45.85,record
-0.68,48.8,record
12.83,45.78,record
12.05,45.78,record
121.04,14.41,record
100.31,5.37,record
140.38,35.75,record
129.87,32.78,record
84.23,27.94,record
11.88,45.41,record
4.83,45.74,record
11.55,45.54,record
129.86,32.79,record
101.12,14.2,record
8.43,45.75,record
101.13,14.26,record
11.43,45.69,record
101.26,12.67,record
12.83,45.78,record
106.36,20.33,record
-92.26,14.91,record
10.22,45.54,record
100.31,5.41,record
101.21,14.2,record
103.9,1.73,record
101.21,14.34,record
101.89,3.57,record
102.26,6.12,record
73.19,17.76,record
101.88,3.57,record
12.83,45.78,record
129.85,32.8,record
101.23,14.2,record
103.95,1.37,record
-92.26,14.91,record
124.2,24.41,record
109.19,12.24,record
103.14,5.3,record
106.39,20.29,record
101.62,3.09,record
129.85,32.81,record
129.85,32.7,record
98.43,8.37,record
129.88,32.74,record
106.27,20.3,record
84.9,27.96,record
101.21,14.26,record
129.85,32.78,record
100.53,6.9,record
72.93,18.54,record
103.76,1.3,record
94.11,25.67,record
129.85,32.77,record
73.03,18.71,record
129.87,32.78,record
103.88,1.37,record
93.78,25.8,record
129.88,32.75,record
129.85,32.78,record
116.48,33.87,record
129.88,32.75,record
129.88,32.75,record
129.88,32.76,record
105.21,17.72,record
129.86,32.78,record
101.89,3.57,record
73.4,17.72,record
140.1,39.72,record
129.86,32.77,record
-48.51,-27.53,record
129.86,32.78,record
99.88,12.55,record
129.87,32.77,record
99.37,9.03,record
73.31,16.99,record
45.11,-12.72,record
73.31,16.99,record
129.87,32.78,record
85.02,20.17,record
129.87,32.78,record
79.8,7.58,record
94.64,26.66,record
73.52,16.66,record
86.66,20.58,record
80.38,7.47,record
73.42,18.08,record
